Product Type,Size,Paper Weight,Paper Type,Paper Color,Parts,Sides,Ink Color,Quantity,Price,Max Qty,Overage per 1000,Pricing Type
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,500,49,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,1000,63,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,2000,94,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,2500,117,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,3000,187,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,4000,176,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,5000,199,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,6000,225,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,7000,253,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,8000,280,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,9000,305,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,10000,326,,,Standard
,,,,,,,,,,,,
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,500,63,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,1000,89,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,2000,133,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,2500,165,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,3000,195,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,4000,255,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,5000,311,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,6000,349,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,7000,396,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,8000,418,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,9000,470,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,10000,504,,,Standard
,,,,,,,,,,,,
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,500,68,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,1000,109,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,2000,180,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,2500,221,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,3000,261,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,4000,340,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,5000,418,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,6000,436,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,7000,546,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,8000,601,,,Standard
