Product Type,Size,Paper Weight,Paper Type,Paper Color,Parts,Sides,Ink Color,Quantity,Price,Max Qty,Overage per 1000,Pricing Type
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,100,34,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,200,53,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,300,64,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,400,75,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,500,85,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,600,96,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,800,117,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,1000,138,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,1200,160,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,1400,182,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,1600,204,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,2000,240,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,3000,344,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,4000,442,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,5000,541,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,6000,639,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,8000,830,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Single,Color,10000,990,,,Standard
,,,,,,,,,,,,
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,100,68,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,200,91,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,300,112,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,400,133,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,500,154,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,600,174,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,800,214,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,1000,254,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,1200,294,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,1400,334,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,1600,374,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,2000,452,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,3000,642,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,4000,832,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,5000,1010,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,6000,1187,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,8000,1503,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Color,10000,1805,,,Standard
,,,,,,,,,,,,
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Black,100,55,,,Standard
Digital Color,"8.5"" x 11""",60lb,Offset,White,,Double,Color/Black,200,78,,,Standard
