Product Type,Size,Paper Weight,Paper Type,Paper Color,Parts,Sides,Ink Color,Quantity,Price,Max Qty,Overage per 1000,Pricing Type
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,500,42,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,1000,51,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,1500,70,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,2000,75,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,3000,115,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,4000,147,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,5000,180,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,6000,208,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,7000,234,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,8000,259,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,9000,283,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,Black,10000,206,10000,28,Overage
,,,,,,,,,,,,
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,500,65,,,Standard
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,1000,69,,,Standard
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,1500,140,,,Standard
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,2000,164,,,Standard
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,3000,250,,,Standard
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,4000,327,,,Standard
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,5000,404,,,Standard
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,6000,476,,,Standard
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,7000,548,,,Standard
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,8000,618,,,Standard
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,9000,686,,,Standard
Letterhead,"8.5"" x 11""",24lb,Classic Linen/Laid/Crest,White,,Single,Black,10000,754,10000,75,Overage
,,,,,,,,,,,,
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,1 STD Color,500,52,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,1 STD Color,1000,61,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,1 STD Color,1500,80,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,1 STD Color,2000,85,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,1 STD Color,3000,125,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,1 STD Color,4000,157,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,1 STD Color,5000,190,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,1 STD Color,6000,218,,,Standard
Letterhead,"8.5"" x 11""",60lb,Accent,White,,Single,1 STD Color,7000,244,,,Standard
