Product Type,Size,Paper Weight,Paper Type,Paper Color,Parts,Sides,Ink Color,Quantity,Price,Max Qty,Overage per 1000,Pricing Type
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,500,42,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,1000,69,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,1500,95,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,2000,121,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,3000,172,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,4000,212,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,5000,275,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,6000,323,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,7000,370,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,8000,416,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,9000,460,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Single,Black,10000,503,10000,48,Overage
,,,,,,,,,,,,
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,500,69,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,1000,97,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,1500,129,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,2000,159,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,3000,223,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,4000,276,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,5000,351,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,6000,412,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,7000,471,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,8000,529,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,9000,585,,,Standard
Card Stock,"8.5"" x 11""",67lb,Vellum Bristol,White,,Double,Black,10000,641,10000,60,Overage
,,,,,,,,,,,,
Card Stock,"8.5"" x 14""",67lb,Vellum Bristol,White,,Single,Black,500,49,,,Standard
Card Stock,"8.5"" x 14""",67lb,Vellum Bristol,White,,Single,Black,1000,76,,,Standard
Card Stock,"8.5"" x 14""",67lb,Vellum Bristol,White,,Single,Black,1500,104,,,Standard
Card Stock,"8.5"" x 14""",67lb,Vellum Bristol,White,,Single,Black,2000,135,,,Standard
Card Stock,"8.5"" x 14""",67lb,Vellum Bristol,White,,Single,Black,3000,194,,,Standard
Card Stock,"8.5"" x 14""",67lb,Vellum Bristol,White,,Single,Black,4000,243,,,Standard
Card Stock,"8.5"" x 14""",67lb,Vellum Bristol,White,,Single,Black,5000,313,,,Standard
Card Stock,"8.5"" x 14""",67lb,Vellum Bristol,White,,Single,Black,6000,368,,,Standard
Card Stock,"8.5"" x 14""",67lb,Vellum Bristol,White,,Single,Black,7000,423,,,Standard
Card Stock,"8.5"" x 14""",67lb,Vellum Bristol,White,,Single,Black,8000,476,,,Standard
Card Stock,"8.5"" x 14""",67lb,Vellum Bristol,White,,Single,Black,9000,528,,,Standard
