Product Type,Size,Paper Weight,Paper Type,Paper Color,Parts,Sides,Ink Color,Quantity,Price,Max Qty,Overage per 1000,Pricing Type
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,500,34,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,1000,37,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,1500,40,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,2000,42,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,2500,56,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,5000,91,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,10000,152,,,Standard
,,,,,,,,,,,,
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,500,28,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,1000,34,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,1500,51,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,2000,55,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,2500,69,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,5000,118,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,10000,204,,,Standard
,,,,,,,,,,,,
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,500,30,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,1000,46,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,1500,61,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,2000,75,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,2500,94,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,5000,163,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,10000,276,,,Standard
,,,,,,,,,,,,
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,500,37,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,1000,40,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,1500,46,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,2000,48,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,2500,65,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,5000,106,,,Standard
Scratch Pads,"4.25"" x 5.5""",20lb,Bond,White,,Single,Black,10000,182,,,Standard
,,,,,,,,,,,,
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,500,32,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,1000,38,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,1500,59,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,2000,63,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,2500,81,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,5000,138,,,Standard
Scratch Pads,"5.5"" x 8.5""",20lb,Bond,White,,Single,Black,10000,244,,,Standard
,,,,,,,,,,,,
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,500,35,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,1000,51,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,1500,71,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,2000,85,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,2500,109,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,5000,188,,,Standard
Scratch Pads,"8.5"" x 11""",20lb,Bond,White,,Single,Black,10000,326,,,Standard
